ROW_ID,ICD9_CODE,SHORT_TITLE,LONG_TITLE
0,01166,tb pneumonia-oth test,"tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
1,01170,tb pneumothorax-unspec,"tuberculous pneumothorax, unspecified"
2,01171,tb pneumothorax-no exam,"tuberculous pneumothorax, bacteriological or histological examination not done"
3,01172,tb pneumothorx-exam unkn,"tuberculous pneumothorax, bacteriological or histological examination unknown (at present)"
4,01173,tb pneumothorax-micro dx,"tuberculous pneumothorax, tubercle bacilli found (in sputum) by microscopy"
5,01174,tb pneumothorax-cult dx,"tuberculous pneumothorax, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
6,01175,tb pneumothorax-histo dx,"tuberculous pneumothorax, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
7,01176,tb pneumothorax-oth test,"tuberculous pneumothorax, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
8,01180,pulmonary tb nec-unspec,"other specified pulmonary tuberculosis, unspecified"
9,01181,pulmonary tb nec-no exam,"other specified pulmonary tuberculosis, bacteriological or histological examination not done"
10,01182,pulmon tb nec-exam unkn,"other specified pulmonary tuberculosis, bacteriological or histological examination unknown (at present)"
11,01183,pulmon tb nec-micro dx,"other specified pulmonary tuberculosis, tubercle bacilli found (in sputum) by microscopy"
12,01184,pulmon tb nec-cult dx,"other specified pulmonary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
13,01185,pulmon tb nec-histo dx,"other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
14,01186,pulmon tb nec-oth test,"other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
15,01190,pulmonary tb nos-unspec,"pulmonary tuberculosis, unspecified, unspecified"
16,01191,pulmonary tb nos-no exam,"pulmonary tuberculosis, unspecified, bacteriological or histological examination not done"
17,01192,pulmon tb nos-exam unkn,"pulmonary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)"
18,01193,pulmon tb nos-micro dx,"pulmonary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy"
19,01194,pulmon tb nos-cult dx,"pulmonary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
20,01195,pulmon tb nos-histo dx,"pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
21,01196,pulmon tb nos-oth test,"pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
22,01200,tb pleurisy-unspec,"tuberculous pleurisy, unspecified"
23,01201,tb pleurisy-no exam,"tuberculous pleurisy, bacteriological or histological examination not done"
