ROW_ID,ICD9_CODE,SHORT_TITLE,LONG_TITLE
0,851,canthotomy,canthotomy
1,852,blepharorrhaphy,blepharorrhaphy
2,859,adjust lid position nec,other adjustment of lid position
3,861,lid reconst w skin graft,reconstruction of eyelid with skin flap or graft
4,862,lid reconst w muc graft,reconstruction of eyelid with mucous membrane flap or graft
5,863,lid reconst w hair graft,reconstruction of eyelid with hair follicle graft
6,864,lid recon-tarsoconj flap,reconstruction of eyelid with tarsoconjunctival flap
7,869,lid reconstr w graft nec,other reconstruction of eyelid with flaps or grafts
8,870,lid reconstruction nos,"reconstruction of eyelid, not otherwise specified"
9,871,lid marg recon-part thic,"reconstruction of eyelid involving lid margin, partial-thickness"
10,872,lid recons-part thic nec,"other reconstruction of eyelid, partial-thickness"
11,873,lid marg recons ful thic,"reconstruction of eyelid involving lid margin, full-thickness"
12,874,lid reconst-ful thic nec,"other reconstruction of eyelid, full-thickness"
13,881,linear rep lid lacer,linear repair of laceration of eyelid or eyebrow
14,882,lid marg lac rx-part th,"repair of laceration involving lid margin, partial-thickness"
15,883,lid lacer rx-prt th nec,"other repair of laceration of eyelid, partial-thickness"
16,884,lid marg lac rx-ful thic,"repair of laceration involving lid margin, full-thickness"
17,885,lid lac rx-ful thic nec,"other repair of laceration of eyelid, full-thickness"
18,886,lower lid rhytidectomy,lower eyelid rhytidectomy
19,887,upper lid rhytidectomy,upper eyelid rhytidectomy
20,889,eyelid repair nec,other eyelid repair
21,891,electrosurg lid epilat,electrosurgical epilation of eyelid
22,892,cryosurg lid epilation,cryosurgical epilation of eyelid
23,893,eyelid epilation nec,other epilation of eyelid
24,899,eyelid operation nec,other operations on eyelids
25,90,lacrimal gland incision,incision of lacrimal gland
26,911,lacrimal gland biopsy,biopsy of lacrimal gland
27,912,lacrimal sac biopsy,biopsy of lacrimal sac
28,919,lacrimal sys dx proc nec,other diagnostic procedures on lacrimal system
29,920,exc lacrimal gland nos,"excision of lacrimal gland, not otherwise specified"
30,921,excis les lacrimal gland,excision of lesion of lacrimal gland
31,922,part dacryoadenect nec,other partial dacryoadenectomy
32,923,total dacryoadenectomy,total dacryoadenectomy
33,93,other lacrimal gland ops,other operations on lacrimal gland
34,941,lacrimal punctum probe,probing of lacrimal punctum
