ROW_ID,ITEMID,LABEL,LINKSTO
0,497,patient controlled analgesia (pca) [inject],chartevents
1,498,pca lockout (min),chartevents
2,499,pca medication,chartevents
3,500,pca total dose,chartevents
4,501,pcv exh vt (obser),chartevents
5,927,allergy 2,chartevents
6,930,ext,chartevents
7,935,allergy 3,chartevents
8,938,blood cultures,chartevents
9,940,trach care,chartevents
10,941,urine culture,chartevents
11,942,blood cultures,chartevents
12,944,chest pt,chartevents
13,946,stv,chartevents
14,956,cpt,chartevents
15,964,tham cc/hr,chartevents
16,968,ekg,chartevents
17,970,trach care,chartevents
18,972,passy muir valve,chartevents
19,977,trache care,chartevents
20,981,dilaudid,chartevents
21,983,leech therapy,chartevents
22,986,abg hct,chartevents
23,987,clot to blood bank,chartevents
24,993,bladder pressure,chartevents
25,996,bladder pressure,chartevents
26,1000,cisatricurium,chartevents
27,1001,rotation,chartevents
28,1003,cuff pressure,chartevents
29,1010,high exhaled min vol,chartevents
30,1011,urine osmolarity,chartevents
31,1015,passy muir valve,chartevents
32,1019,thigh hi teds,chartevents
33,1022,trach care,chartevents
34,1023,cisatra mcg/kg/min,chartevents
35,1027,abdominal binder,chartevents
36,1028,cisatracurium,chartevents
37,1029,incentive spirometer,chartevents
38,1032,hi/minute/vol/alarm,chartevents
39,1034,ra sat,chartevents
40,1035,wedge sat,chartevents
41,1036,protonics,chartevents
42,1037,o2 %,chartevents
43,1038,hi/minute/vols alarm,chartevents
44,1039,mdi #4,chartevents
45,1040,bipap fio2,chartevents
46,1041,flap doppler,chartevents
47,1042,acetomenophen,chartevents
48,1043,less restrict meas.,chartevents
49,1044,pain level,chartevents
50,1045,pain level/response,chartevents
51,1046,pain present,chartevents
52,1047,range of motion,chartevents
53,1048,zzzn management,chartevents
54,1049,aicd,chartevents
55,1050,left thigh hematoma,chartevents
56,1051,passy-muir valve,chartevents
57,1052,rocuronium,chartevents
58,1053,bed/bath linen,chartevents
59,1054,protonix,chartevents
60,1055,hi/minute/vol/alarm,chartevents
61,1056,chest pt,chartevents
62,1057,edema,chartevents
63,1058,foley cath. care,chartevents
64,1059,shampoo hair,chartevents
65,1060,ammonia,chartevents
66,1061,mulitpodis boots,chartevents
67,1062,pmv on/off,chartevents
68,1063,bath,chartevents
69,1066,shave,chartevents
70,1067,apnea test,chartevents
71,1069,seizure activity,chartevents
72,1070,shampoo,chartevents
73,1077,hair washed,chartevents
74,1078,bath,chartevents
75,1079,inv#1chg o/wire date,chartevents
76,1080,inv#2chg o/wire date,chartevents
77,1081,inv#3chg o/wire date,chartevents
78,1082,inv#4chg o/wire date,chartevents
79,1083,inv#5chg o/wire date,chartevents
80,1084,inv#6chg o/wire date,chartevents
81,1085,inv#7chg o/wire date,chartevents
82,1086,inv#8chg o/wire date,chartevents
83,1087,pain assess method,chartevents
84,1089,painlevel acceptable,chartevents
85,1090,ramsey sedationscale,chartevents
86,1091,trach insert date,chartevents
87,1092,zzzzz date,chartevents
88,1093,coccyx drsg change,chartevents
89,1094,podus boot,chartevents
90,1095,cuff leak present,chartevents
91,1096,auto-peep level,chartevents
92,1097,pantoprazole  mg/hr,chartevents
93,1098,cisatracurium mg/kg,chartevents
94,1099,tegretol,chartevents
95,1100,pressure bag r.groin,chartevents
96,1101,protonix,chartevents
97,1102,high exhaled min vol,chartevents
98,1103,cvp,chartevents
99,1104,hi/minute/vol/alarm,chartevents
100,1106,meperidine mg/hr,chartevents
101,1107,demerol drip,chartevents
102,1108,mucomyst,chartevents
103,1110,drsg change,chartevents
104,1111,peg tube dressing,chartevents
105,1112,l/r heel drsg change,chartevents
106,1113,sacral drsg change,chartevents
107,1114,follows consistently,chartevents
108,1115,passey muir valve,chartevents
109,1116,passey-muir valve,chartevents
110,1117,passey muir valve,chartevents
111,1118,multipodus boot,chartevents
112,1119,seizure pads,chartevents
113,1120,trach,chartevents
114,1121,hi/minute/vol/alarm,chartevents
115,1122,lepirudin,chartevents
116,1123,dsg change to coccyx,chartevents
117,1124,nesiritide,chartevents
118,1125,service type,chartevents
119,1126,art.ph,chartevents
120,1127,"wbc   (4-11,000)",chartevents
121,1133,multi-podis boots,chartevents
122,1134,pad change,chartevents
123,1135,pad change,chartevents
124,1136,vasopressin,chartevents
125,1162,bun,chartevents
126,1165,hgb,chartevents
127,1187,demerol,chartevents
128,1188,dressing change,chartevents
129,1189,finger stick,chartevents
130,1190,natrecor mcg/kg/min,chartevents
131,1191,glucometer,chartevents
132,1192,pericardial pressure,chartevents
133,1193,l. arm sling,chartevents
134,1194,natrecor,chartevents
135,1195,hfi bias flow:,chartevents
136,1196,hfo % i time,chartevents
137,1197,hfo amplitude,chartevents
138,1198,hfo frq. (hz),chartevents
139,1199,hfo map,chartevents
140,1200,high map alarm,chartevents
141,1201,low map alarm,chartevents
142,1202,bathed,chartevents
143,1203,fleets enema,chartevents
144,1204,bias flow,chartevents
145,1205,hfo amplitude deta p,chartevents
146,1206,hfo fio2:,chartevents
147,1207,hfo hz:,chartevents
148,1208,hfo max pres. alarm,chartevents
149,1209,hfo mean airway pres,chartevents
150,502,pcv insp vt (obser),chartevents
151,503,pcv set insp. press,chartevents
152,504,pcwp,chartevents
153,505,peep,chartevents
154,506,peep set,chartevents
155,507,pip,chartevents
156,508,pt splint #1 [location],chartevents
157,509,pt splint #2 [location],chartevents
158,510,pt splint #3 [location],chartevents
159,511,pt splint #4 [location],chartevents
160,512,pvr,chartevents
161,513,pvri,chartevents
162,515,pacemaker mode,chartevents
163,516,pacemaker type,chartevents
164,517,pacer rate,chartevents
165,518,pacer wire condition,chartevents
166,519,pacer wires atrial,chartevents
167,520,pacer wires ground,chartevents
168,521,pacer wires vent,chartevents
169,522,pain cause,chartevents
170,523,pain level (movemnt),chartevents
171,524,pain level (rest),chartevents
172,525,pain location,chartevents
173,526,pain management [route/status #1],chartevents
174,527,pain type,chartevents
175,529,pause time %,chartevents
176,530,peak flow,chartevents
177,531,peak flow % (pred),chartevents
178,532,peak flow (calc),chartevents
179,533,peak flow (pred),chartevents
180,534,peak flow (actual),chartevents
181,535,peak insp. pressure,chartevents
182,536,peri care,chartevents
183,537,pericard drain site,chartevents
184,538,pericard drain stat,chartevents
185,539,pericardial drainage,chartevents
186,541,petco2/tcco2,chartevents
187,542,pin care,chartevents
188,543,plateau pressure,chartevents
189,544,plateau time (7200),chartevents
